rid,Season,STORMNAME,YYYYMMDDHH,TY,LAT,LON,VMAX,ty_year,tyid
1,2006,DURIAN,200611250600, TS,9.6,147.2,0,durian2006,18
2,2006,DURIAN,200611251200, TS,9.5,146.1,0,durian2006,18
3,2006,DURIAN,200611251800, TS,9.6,145.1,0,durian2006,18
4,2006,DURIAN,200611260000, TS,10,144,0,durian2006,18
5,2006,DURIAN,200611260600, TS,10.1,142.7,0,durian2006,18
6,2006,DURIAN,200611261200, TS,10,141.4,35,durian2006,18
7,2006,DURIAN,200611261800, TS,9.9,140.3,35,durian2006,18
8,2006,DURIAN,200611270000, TS,9.9,139.2,40,durian2006,18
9,2006,DURIAN,200611270600, TS,10.3,138.5,40,durian2006,18
10,2006,DURIAN,200611271200, TS,10.6,137.7,45,durian2006,18
11,2006,DURIAN,200611271800, TS,10.8,136.1,50,durian2006,18
12,2006,DURIAN,200611280000, TS,11.3,134.6,50,durian2006,18
13,2006,DURIAN,200611280600, TS,11.9,133.1,55,durian2006,18
14,2006,DURIAN,200611281200, TS,12.2,131.4,60,durian2006,18
15,2006,DURIAN,200611281800, TS,12.6,130.1,70,durian2006,18
16,2006,DURIAN,200611290000, TS,13,128.6,80,durian2006,18
17,2006,DURIAN,200611290600, TS,13.2,127.3,100,durian2006,18
18,2006,DURIAN,200611291200, TS,13.3,126.4,105,durian2006,18
19,2006,DURIAN,200611291800, TS,13.4,125.4,100,durian2006,18
20,2006,DURIAN,200611300000, TS,13.4,124.6,90,durian2006,18
21,2006,DURIAN,200611300600, TS,13.4,123.6,90,durian2006,18
22,2006,DURIAN,200611301200, TS,13.5,122.4,80,durian2006,18
23,2006,DURIAN,200611301800, TS,13.5,121.2,75,durian2006,18
24,2006,DURIAN,200612010000, TS,13.6,120.3,75,durian2006,18
25,2006,DURIAN,200612010600, TS,13.5,119.6,70,durian2006,18
26,2006,DURIAN,200612011200, TS,13.4,118.6,70,durian2006,18
27,2006,DURIAN,200612011800, TS,13.4,118,70,durian2006,18
28,2006,DURIAN,200612020000, TS,13.7,117,70,durian2006,18
29,2006,DURIAN,200612020600, TS,13.7,116.4,70,durian2006,18
30,2006,DURIAN,200612021200, TS,13.9,115.6,70,durian2006,18
31,2006,DURIAN,200612021800, TS,13.9,114.7,75,durian2006,18
32,2006,DURIAN,200612030000, TS,13.9,114,75,durian2006,18
33,2006,DURIAN,200612030600, TS,13.8,113.3,75,durian2006,18
34,2006,DURIAN,200612031200, TS,13.5,112.9,75,durian2006,18
35,2006,DURIAN,200612031800, TS,13.1,112,75,durian2006,18
36,2006,DURIAN,200612040000, TS,12.5,111.3,65,durian2006,18
37,2006,DURIAN,200612040600, TS,11.5,110.3,60,durian2006,18
38,2006,DURIAN,200612041200, TS,10.8,109.7,60,durian2006,18
39,2006,DURIAN,200612041800, TS,10.4,108.4,60,durian2006,18
40,2006,DURIAN,200612050000, TS,10,107,45,durian2006,18
41,2006,DURIAN,200612050600, TS,9.1,105.6,0,durian2006,18
42,2006,DURIAN,200612051200, TS,8.7,103,0,durian2006,18
43,2006,DURIAN,200612051800, TS,9.3,101.3,0,durian2006,18
44,2008,FENGSHEN,200806171800, TS,8.4,134.2,0,fengshen2008,6
45,2008,FENGSHEN,200806180000, TS,8.6,133.4,0,fengshen2008,6
46,2008,FENGSHEN,200806180600, TS,9,132.7,0,fengshen2008,6
47,2008,FENGSHEN,200806181200, TS,9.3,132.1,0,fengshen2008,6
48,2008,FENGSHEN,200806181800, TS,9.5,131.4,0,fengshen2008,6
49,2008,FENGSHEN,200806190000, TS,9.7,130.9,35,fengshen2008,6
50,2008,FENGSHEN,200806190600, TS,10,130.1,45,fengshen2008,6
51,2008,FENGSHEN,200806191200, TS,10.3,128.9,55,fengshen2008,6
52,2008,FENGSHEN,200806191800, TS,10.7,127.7,65,fengshen2008,6
53,2008,FENGSHEN,200806200000, TS,11,126.9,70,fengshen2008,6
54,2008,FENGSHEN,200806200600, TS,11.5,125.4,75,fengshen2008,6
55,2008,FENGSHEN,200806201200, TS,11.6,124.3,75,fengshen2008,6
56,2008,FENGSHEN,200806201800, TS,11.7,123.5,80,fengshen2008,6
57,2008,FENGSHEN,200806210000, TS,11.9,122.7,90,fengshen2008,6
58,2008,FENGSHEN,200806210600, TS,12.2,122.3,85,fengshen2008,6
59,2008,FENGSHEN,200806211200, TS,13.1,121.8,75,fengshen2008,6
60,2008,FENGSHEN,200806211800, TS,14,121.6,75,fengshen2008,6
61,2008,FENGSHEN,200806220000, TS,14.8,121,75,fengshen2008,6
62,2008,FENGSHEN,200806220600, TS,15.4,120.5,65,fengshen2008,6
63,2008,FENGSHEN,200806221200, TS,15.9,119.6,55,fengshen2008,6
64,2008,FENGSHEN,200806221800, TS,16.5,118.4,50,fengshen2008,6
65,2008,FENGSHEN,200806230000, TS,17.1,117.8,50,fengshen2008,6
66,2008,FENGSHEN,200806230600, TS,17.6,117.1,50,fengshen2008,6
67,2008,FENGSHEN,200806231200, TS,18,116.5,50,fengshen2008,6
68,2008,FENGSHEN,200806231800, TS,18.6,116.1,50,fengshen2008,6
69,2008,FENGSHEN,200806240000, TS,19.4,115.9,50,fengshen2008,6
70,2008,FENGSHEN,200806240600, TS,20.5,115.4,50,fengshen2008,6
71,2008,FENGSHEN,200806241200, TS,21.1,115,50,fengshen2008,6
72,2008,FENGSHEN,200806241800, TS,22,114.6,45,fengshen2008,6
73,2008,FENGSHEN,200806250000, TS,22.9,113.9,40,fengshen2008,6
74,2008,FENGSHEN,200806250600, TS,23.6,113.6,0,fengshen2008,6
75,2008,FENGSHEN,200806251200, TS,24.3,113.4,0,fengshen2008,6
76,2008,FENGSHEN,200806251800, TS,24.5,113.5,0,fengshen2008,6
77,2008,FENGSHEN,200806260000, TS,24.9,113.7,0,fengshen2008,6
78,2008,FENGSHEN,200806260600, TS,25.3,114.3,0,fengshen2008,6
79,2008,FENGSHEN,200806261200, TS,25.8,114.7,0,fengshen2008,6
80,2008,FENGSHEN,200806261800, TS,26.2,115,0,fengshen2008,6
81,2008,FENGSHEN,200806270000, TS,27,115.4,0,fengshen2008,6
82,2009,KETSANA,200909250000, TS,14.2,127.9,0,ketsana2009,15
83,2009,KETSANA,200909250600, TS,14.3,126.8,0,ketsana2009,15
84,2009,KETSANA,200909251200, TS,14.7,125.3,0,ketsana2009,15
85,2009,KETSANA,200909251800, TS,14.9,123.7,0,ketsana2009,15
86,2009,KETSANA,200909260000, TS,15.1,122.4,35,ketsana2009,15
87,2009,KETSANA,200909260600, TS,15.1,121.2,40,ketsana2009,15
88,2009,KETSANA,200909261200, TS,15.4,119.5,40,ketsana2009,15
89,2009,KETSANA,200909261800, TS,15.3,117.7,45,ketsana2009,15
90,2009,KETSANA,200909270000, TS,15.2,116.5,50,ketsana2009,15
91,2009,KETSANA,200909270600, TS,15.2,115.5,50,ketsana2009,15
92,2009,KETSANA,200909271200, TS,15.6,114.5,55,ketsana2009,15
93,2009,KETSANA,200909271800, TS,15.7,113.7,60,ketsana2009,15
94,2009,KETSANA,200909280000, TS,15.8,112.8,60,ketsana2009,15
95,2009,KETSANA,200909280600, TS,15.8,111.9,70,ketsana2009,15
96,2009,KETSANA,200909281200, TS,16,111.1,70,ketsana2009,15
97,2009,KETSANA,200909281800, TS,16,110.2,70,ketsana2009,15
98,2009,KETSANA,200909290000, TS,15.5,109.5,70,ketsana2009,15
99,2009,KETSANA,200909290600, TS,15.4,108.9,70,ketsana2009,15
100,2009,KETSANA,200909291200, TS,15.3,108.4,60,ketsana2009,15
101,2009,KETSANA,200909291800, TS,15.3,107.9,45,ketsana2009,15
102,2009,KETSANA,200909300000, TS,15.3,107.6,35,ketsana2009,15
103,2009,KETSANA,200909300600, TS,15.3,107.1,0,ketsana2009,15
104,2009,KETSANA,200909301200, TS,15.2,105.9,0,ketsana2009,15
105,2009,KETSANA,200909301800, TS,15.1,105,0,ketsana2009,15
106,2010,CONSON,201007111200, TS,13.9,132.6,0,conson2010,3
107,2010,CONSON,201007111800, TS,14.2,131.8,0,conson2010,3
108,2010,CONSON,201007120000, TS,14.3,130.3,35,conson2010,3
109,2010,CONSON,201007120600, TS,14.1,129.3,45,conson2010,3
110,2010,CONSON,201007121200, TS,14.3,127.7,55,conson2010,3
111,2010,CONSON,201007121800, TS,14.3,126.5,65,conson2010,3
112,2010,CONSON,201007130000, TS,14.3,124.8,65,conson2010,3
113,2010,CONSON,201007130600, TS,14.4,123.5,65,conson2010,3
114,2010,CONSON,201007131200, TS,14.5,122.3,65,conson2010,3
115,2010,CONSON,201007131800, TS,14.3,120.9,60,conson2010,3
116,2010,CONSON,201007140000, TS,14.7,119.6,55,conson2010,3
117,2010,CONSON,201007140600, TS,15.3,118.3,50,conson2010,3
118,2010,CONSON,201007141200, TS,16,117.7,45,conson2010,3
119,2010,CONSON,201007141800, TS,16.1,116.1,45,conson2010,3
120,2010,CONSON,201007150000, TS,16.2,115,50,conson2010,3
121,2010,CONSON,201007150600, TS,16.6,113.9,55,conson2010,3
122,2010,CONSON,201007151200, TS,16.7,112.9,65,conson2010,3
123,2010,CONSON,201007151800, TS,16.9,111.9,65,conson2010,3
124,2010,CONSON,201007160000, TS,17,111,65,conson2010,3
125,2010,CONSON,201007160600, TS,17.6,110.2,70,conson2010,3
126,2010,CONSON,201007161200, TS,18,109.5,65,conson2010,3
127,2010,CONSON,201007161800, TS,18.5,108.6,65,conson2010,3
128,2010,CONSON,201007170000, TS,19.2,108,55,conson2010,3
129,2010,CONSON,201007170600, TS,20.1,107.5,50,conson2010,3
130,2010,CONSON,201007171200, TS,20.6,106.9,45,conson2010,3
131,2010,CONSON,201007171800, TS,21.1,106.1,40,conson2010,3
132,2010,CONSON,201007180000, TS,21,105,0,conson2010,3
133,2011,NESAT,201109230000, TS,12.6,139.2,0,nesat2011,17
134,2011,NESAT,201109230600, TS,12.9,138.7,0,nesat2011,17
135,2011,NESAT,201109231200, TS,13.3,138.3,0,nesat2011,17
136,2011,NESAT,201109231800, TS,13.7,137.6,0,nesat2011,17
137,2011,NESAT,201109240000, TS,14.2,136.5,35,nesat2011,17
138,2011,NESAT,201109240600, TS,14.8,134.9,35,nesat2011,17
139,2011,NESAT,201109241200, TS,15,133.6,40,nesat2011,17
140,2011,NESAT,201109241800, TS,14.5,131.9,45,nesat2011,17
141,2011,NESAT,201109250000, TS,14.4,130.6,50,nesat2011,17
142,2011,NESAT,201109250600, TS,14.5,129.2,50,nesat2011,17
143,2011,NESAT,201109251200, TS,14.6,128.3,55,nesat2011,17
144,2011,NESAT,201109251800, TS,14.9,127,60,nesat2011,17
145,2011,NESAT,201109260000, TS,15.1,126,70,nesat2011,17
146,2011,NESAT,201109260600, TS,15.4,125,70,nesat2011,17
147,2011,NESAT,201109261200, TS,15.8,124,75,nesat2011,17
148,2011,NESAT,201109261800, TS,16.2,122.9,80,nesat2011,17
149,2011,NESAT,201109270000, TS,16.3,121.5,75,nesat2011,17
150,2011,NESAT,201109270600, TS,16.5,120.2,65,nesat2011,17
151,2011,NESAT,201109271200, TS,16.9,119.1,65,nesat2011,17
152,2011,NESAT,201109271800, TS,17.2,117.9,65,nesat2011,17
153,2011,NESAT,201109280000, TS,17.1,116.6,65,nesat2011,17
154,2011,NESAT,201109280600, TS,17.4,115.8,65,nesat2011,17
155,2011,NESAT,201109281200, TS,18.2,114.6,65,nesat2011,17
156,2011,NESAT,201109281800, TS,18.8,113.4,65,nesat2011,17
157,2011,NESAT,201109290000, TS,19.7,112.2,65,nesat2011,17
158,2011,NESAT,201109290600, TS,19.9,110.8,65,nesat2011,17
159,2011,NESAT,201109291200, TS,20.2,109.8,65,nesat2011,17
160,2011,NESAT,201109291800, TS,20.6,108.9,55,nesat2011,17
161,2011,NESAT,201109300000, TS,20.8,107.8,50,nesat2011,17
162,2011,NESAT,201109300600, TS,20.9,106.8,45,nesat2011,17
163,2011,NESAT,201109301200, TS,21.1,106.5,35,nesat2011,17
164,2011,NESAT,201109301800, TS,21.5,106.2,0,nesat2011,17
165,2012,BOPHA,201211251800, TS,3.4,156.9,0,bopha2012,23
166,2012,BOPHA,201211260000, TS,3.7,156.7,0,bopha2012,23
167,2012,BOPHA,201211260600, TS,3.9,156.6,0,bopha2012,23
168,2012,BOPHA,201211261200, TS,4,156.4,0,bopha2012,23
169,2012,BOPHA,201211261800, TS,4.1,156.3,35,bopha2012,23
170,2012,BOPHA,201211270000, TS,4.3,156.2,35,bopha2012,23
171,2012,BOPHA,201211270600, TS,4.4,155.8,35,bopha2012,23
172,2012,BOPHA,201211271200, TS,4.4,155.5,35,bopha2012,23
173,2012,BOPHA,201211271800, TS,4.6,155.1,40,bopha2012,23
174,2012,BOPHA,201211280000, TS,4.7,154.3,40,bopha2012,23
175,2012,BOPHA,201211280600, TS,4.8,153.1,40,bopha2012,23
176,2012,BOPHA,201211281200, TS,4.6,151.7,40,bopha2012,23
177,2012,BOPHA,201211281800, TS,4.2,150.8,45,bopha2012,23
178,2012,BOPHA,201211290000, TS,4,150,45,bopha2012,23
179,2012,BOPHA,201211290600, TS,3.8,149.2,45,bopha2012,23
180,2012,BOPHA,201211291200, TS,3.4,148,45,bopha2012,23
181,2012,BOPHA,201211291800, TS,3.4,147.1,45,bopha2012,23
182,2012,BOPHA,201211300000, TS,3.6,146.3,50,bopha2012,23
183,2012,BOPHA,201211300600, TS,3.9,145.3,60,bopha2012,23
184,2012,BOPHA,201211301200, TS,4.2,144.2,65,bopha2012,23
185,2012,BOPHA,201211301800, TS,4.4,142.9,75,bopha2012,23
186,2012,BOPHA,201212010000, TS,4.7,142.1,90,bopha2012,23
187,2012,BOPHA,201212010600, TS,5.1,141.1,90,bopha2012,23
188,2012,BOPHA,201212011200, TS,5.4,140,90,bopha2012,23
189,2012,BOPHA,201212011800, TS,5.8,138.8,95,bopha2012,23
190,2012,BOPHA,201212020000, TS,6.2,137.7,100,bopha2012,23
191,2012,BOPHA,201212020600, TS,6.4,136,100,bopha2012,23
192,2012,BOPHA,201212021200, TS,6.4,134.6,100,bopha2012,23
193,2012,BOPHA,201212021800, TS,6.5,133.3,90,bopha2012,23
194,2012,BOPHA,201212030000, TS,6.8,131.8,90,bopha2012,23
195,2012,BOPHA,201212030600, TS,7,130.4,100,bopha2012,23
196,2012,BOPHA,201212031200, TS,7.4,128.9,100,bopha2012,23
197,2012,BOPHA,201212031800, TS,7.6,127.3,100,bopha2012,23
198,2012,BOPHA,201212040000, TS,7.9,125.9,85,bopha2012,23
199,2012,BOPHA,201212040600, TS,8.7,124.1,70,bopha2012,23
200,2012,BOPHA,201212041200, TS,9.2,122.4,65,bopha2012,23
201,2012,BOPHA,201212041800, TS,9.8,120.6,65,bopha2012,23
202,2012,BOPHA,201212050000, TS,9.8,119.8,65,bopha2012,23
203,2012,BOPHA,201212050600, TS,10.6,118.8,65,bopha2012,23
204,2012,BOPHA,201212051200, TS,11.2,118.2,65,bopha2012,23
205,2012,BOPHA,201212051800, TS,11.5,117.7,65,bopha2012,23
206,2012,BOPHA,201212060000, TS,12,117,65,bopha2012,23
207,2012,BOPHA,201212060600, TS,12.4,116.6,65,bopha2012,23
208,2012,BOPHA,201212061200, TS,12.8,116.3,65,bopha2012,23
209,2012,BOPHA,201212061800, TS,13.2,115.8,60,bopha2012,23
210,2012,BOPHA,201212070000, TS,13.7,115.6,70,bopha2012,23
211,2012,BOPHA,201212070600, TS,14.6,115.9,80,bopha2012,23
212,2012,BOPHA,201212071200, TS,15.4,116,90,bopha2012,23
213,2012,BOPHA,201212071800, TS,16.1,116.2,90,bopha2012,23
214,2012,BOPHA,201212080000, TS,16.8,116.9,85,bopha2012,23
215,2012,BOPHA,201212080600, TS,17.5,117.9,80,bopha2012,23
216,2012,BOPHA,201212081200, TS,17.9,118.6,65,bopha2012,23
217,2012,BOPHA,201212081800, TS,18.1,119,40,bopha2012,23
218,2012,BOPHA,201212090000, TS,18.1,119.2,35,bopha2012,23
219,2012,BOPHA,201212090600, TS,17.8,119.5,0,bopha2012,23
220,2013,UTOR,201308081200, TS,12.1,136.6,0,utor2013,27
221,2013,UTOR,201308081800, TS,12.6,135.8,0,utor2013,27
222,2013,UTOR,201308090000, TS,13.3,135,0,utor2013,27
223,2013,UTOR,201308090600, TS,13.5,133.6,0,utor2013,27
224,2013,UTOR,201308091200, TS,13.5,132.6,0,utor2013,27
225,2013,UTOR,201308091800, TS,13.5,131.7,35,utor2013,27
226,2013,UTOR,201308100000, TS,13.6,130.6,45,utor2013,27
227,2013,UTOR,201308100600, TS,13.9,129.2,70,utor2013,27
228,2013,UTOR,201308101200, TS,14,128.2,80,utor2013,27
229,2013,UTOR,201308101800, TS,14.2,127,80,utor2013,27
230,2013,UTOR,201308110000, TS,14.5,125.9,85,utor2013,27
231,2013,UTOR,201308110600, TS,15.1,124.8,90,utor2013,27
232,2013,UTOR,201308111200, TS,15.5,123.5,105,utor2013,27
233,2013,UTOR,201308111800, TS,16.1,122.2,95,utor2013,27
234,2013,UTOR,201308120000, TS,16.7,120.8,75,utor2013,27
235,2013,UTOR,201308120600, TS,17.2,119.2,70,utor2013,27
236,2013,UTOR,201308121200, TS,17.9,118,70,utor2013,27
237,2013,UTOR,201308121800, TS,18,116.5,70,utor2013,27
238,2013,UTOR,201308130000, TS,18.3,115.2,70,utor2013,27
239,2013,UTOR,201308130600, TS,18.8,114.1,70,utor2013,27
240,2013,UTOR,201308131200, TS,19.2,113.5,70,utor2013,27
241,2013,UTOR,201308131800, TS,19.6,112.9,70,utor2013,27
242,2013,UTOR,201308140000, TS,20.6,112.2,70,utor2013,27
243,2013,UTOR,201308140600, TS,21.6,112,65,utor2013,27
244,2013,UTOR,201308141200, TS,22,111.3,60,utor2013,27
245,2013,UTOR,201308141800, TS,22.5,111.2,45,utor2013,27
246,2013,UTOR,201308150000, TS,23.1,111,35,utor2013,27
247,2013,UTOR,201308150600, TS,23.7,111,35,utor2013,27
248,2013,UTOR,201308151200, TS,24.2,111.2,0,utor2013,27
249,2013,UTOR,201308151800, TS,24.5,111.4,0,utor2013,27
250,2013,UTOR,201308160000, TS,24.7,111.6,0,utor2013,27
251,2013,UTOR,201308160600, TS,24.8,111.5,0,utor2013,27
252,2013,UTOR,201308161200, TS,24.8,111.2,0,utor2013,27
253,2013,UTOR,201308161800, TS,24.7,110.8,0,utor2013,27
254,2013,UTOR,201308170000, TS,24.4,110.3,0,utor2013,27
255,2013,UTOR,201308170600, TS,23.9,110.1,0,utor2013,27
256,2013,UTOR,201308171200, TS,23.5,109.9,0,utor2013,27
257,2013,UTOR,201308171800, TS,23.2,109.6,0,utor2013,27
258,2013,UTOR,201308180000, TS,23.2,109.4,0,utor2013,27
259,2013,UTOR,201308180600, TS,23.1,109.1,0,utor2013,27
260,2013,TRAMI,201308161200, TS,22.5,123.4,0,trami2013,12
261,2013,TRAMI,201308161800, TS,22,124,0,trami2013,12
262,2013,TRAMI,201308170000, TS,21.2,124.9,0,trami2013,12
263,2013,TRAMI,201308170600, TS,20.7,125.7,0,trami2013,12
264,2013,TRAMI,201308171200, TS,20.5,126.5,0,trami2013,12
265,2013,TRAMI,201308171800, TS,20.4,126.9,0,trami2013,12
266,2013,TRAMI,201308180000, TS,20.3,127,35,trami2013,12
267,2013,TRAMI,201308180600, TS,20.2,127.2,35,trami2013,12
268,2013,TRAMI,201308181200, TS,19.7,127.4,35,trami2013,12
269,2013,TRAMI,201308181800, TS,19.2,127.6,40,trami2013,12
270,2013,TRAMI,201308190000, TS,19.2,127.7,40,trami2013,12
271,2013,TRAMI,201308190600, TS,19.7,128.1,40,trami2013,12
272,2013,TRAMI,201308191200, TS,20.5,128.6,45,trami2013,12
273,2013,TRAMI,201308191800, TS,21.1,128.7,50,trami2013,12
274,2013,TRAMI,201308200000, TS,22.3,128.5,50,trami2013,12
275,2013,TRAMI,201308200600, TS,22.6,127.8,55,trami2013,12
276,2013,TRAMI,201308201200, TS,22.9,126.8,55,trami2013,12
277,2013,TRAMI,201308201500, TS,23.6,126.7,55,trami2013,12
278,2013,TRAMI,201308201800, TS,24.5,126.2,60,trami2013,12
279,2013,TRAMI,201308202100, TS,24.9,125.3,60,trami2013,12
280,2013,TRAMI,201308210000, TS,25.2,124.3,60,trami2013,12
281,2013,TRAMI,201308210300, TS,25.3,123.6,60,trami2013,12
282,2013,TRAMI,201308210600, TS,25.5,122.8,60,trami2013,12
283,2013,TRAMI,201308211200, TS,25.9,121,60,trami2013,12
284,2013,TRAMI,201308211800, TS,25.7,119.6,60,trami2013,12
285,2013,TRAMI,201308220000, TS,26,118.4,50,trami2013,12
286,2013,TRAMI,201308220600, TS,26.8,117.1,40,trami2013,12
287,2013,TRAMI,201308221200, TS,27.5,116,35,trami2013,12
288,2013,TRAMI,201308221800, TS,27.7,114.7,0,trami2013,12
289,2013,TRAMI,201308230000, TS,27.8,113.5,0,trami2013,12
290,2013,TRAMI,201308230600, TS,27.8,112.7,0,trami2013,12
291,2013,TRAMI,201308231200, TS,27.1,111.7,0,trami2013,12
292,2013,TRAMI,201308231800, TS,26,110.5,0,trami2013,12
293,2013,TRAMI,201308240000, TS,25.3,108.5,0,trami2013,12
294,2013,TRAMI,201308240600, TS,24.3,107.3,0,trami2013,12
295,2013,USAGI,201309160000, TS,17.3,132,0,usagi2013,16
296,2013,USAGI,201309160600, TS,17.3,132.3,0,usagi2013,16
297,2013,USAGI,201309161200, TS,17,132.4,0,usagi2013,16
298,2013,USAGI,201309161800, TS,17,132.1,35,usagi2013,16
299,2013,USAGI,201309170000, TS,17,131.9,35,usagi2013,16
300,2013,USAGI,201309170600, TS,17.2,131.4,35,usagi2013,16
301,2013,USAGI,201309171200, TS,17.2,131.1,40,usagi2013,16
302,2013,USAGI,201309171800, TS,17.2,130.7,45,usagi2013,16
303,2013,USAGI,201309180000, TS,17,130.5,50,usagi2013,16
304,2013,USAGI,201309180600, TS,17.1,130.2,55,usagi2013,16
305,2013,USAGI,201309181200, TS,17.3,129.6,65,usagi2013,16
306,2013,USAGI,201309181800, TS,17.1,128.6,70,usagi2013,16
307,2013,USAGI,201309190000, TS,16.9,128.3,80,usagi2013,16
308,2013,USAGI,201309190600, TS,17.5,128,95,usagi2013,16
309,2013,USAGI,201309191200, TS,18.1,127.3,105,usagi2013,16
310,2013,USAGI,201309191800, TS,18.7,126.4,110,usagi2013,16
311,2013,USAGI,201309200000, TS,19.3,125.5,110,usagi2013,16
312,2013,USAGI,201309200600, TS,19.7,124.6,110,usagi2013,16
313,2013,USAGI,201309201200, TS,20.1,123.8,110,usagi2013,16
314,2013,USAGI,201309201800, TS,20.4,122.6,105,usagi2013,16
315,2013,USAGI,201309210000, TS,20.6,121.8,100,usagi2013,16
316,2013,USAGI,201309210600, TS,20.8,120.8,90,usagi2013,16
317,2013,USAGI,201309211200, TS,21.1,119.7,85,usagi2013,16
318,2013,USAGI,201309211800, TS,21.4,118.9,85,usagi2013,16
319,2013,USAGI,201309220000, TS,21.8,117.9,85,usagi2013,16
320,2013,USAGI,201309220600, TS,22.4,116.8,85,usagi2013,16
321,2013,USAGI,201309221200, TS,22.9,115.4,80,usagi2013,16
322,2013,USAGI,201309221800, TS,23.1,113.9,50,usagi2013,16
323,2013,USAGI,201309230000, TS,23.6,112.5,40,usagi2013,16
324,2013,USAGI,201309230600, TS,24.3,111.2,0,usagi2013,16
325,2013,USAGI,201309231200, TS,24.6,110.2,0,usagi2013,16
326,2013,USAGI,201309231800, TS,24.9,109.4,0,usagi2013,16
327,2013,USAGI,201309240000, TS,25.1,108.5,0,usagi2013,16
328,2013,NARI,201310081200, TS,14,131.6,0,nari2013,20
329,2013,NARI,201310081800, TS,14.1,131.1,0,nari2013,20
330,2013,NARI,201310090000, TS,14.1,130.3,0,nari2013,20
331,2013,NARI,201310090600, TS,14.2,129.5,0,nari2013,20
332,2013,NARI,201310091200, TS,14.5,128.9,35,nari2013,20
333,2013,NARI,201310091800, TS,14.8,128.3,40,nari2013,20
334,2013,NARI,201310100000, TS,15.1,127.8,45,nari2013,20
335,2013,NARI,201310100600, TS,15.3,126.9,50,nari2013,20
336,2013,NARI,201310101200, TS,15.3,126.1,60,nari2013,20
337,2013,NARI,201310101800, TS,15.3,125.4,65,nari2013,20
338,2013,NARI,201310110000, TS,15.3,124.5,70,nari2013,20
339,2013,NARI,201310110600, TS,15.3,123.3,70,nari2013,20
340,2013,NARI,201310111200, TS,15.4,122.4,70,nari2013,20
