YYYYMMDDHH,LAT,LON,VMAX
20201106180000,15.4,105.4,20
20201105180000,14,110.3,30
20201105120000,14,111.2,30
20201105060000,14,111.4,35
20201105000000,14,111.9,40
20201104180000,14.2,112.5,40
20201104120000,14.3,112.6,35
20201104060000,14.4,113.3,35
20201104000000,14.4,113.4,35
20201103180000,14.6,114.2,35
20201103120000,14.7,114.6,35
20201103060000,14.7,115.1,35
20201103000000,14.8,115.4,35
20201102180000,15.1,115.8,35
20201102120000,15.1,116.8,30
20201102060000,15.3,118,30
20201102000000,14.9,118.5,40
20201101180000,14.7,119.5,55
20201101120000,14.1,121.2,60
20201101060000,13.6,122.5,75
20201101000000,13.5,123.6,115
20201031180000,13.7,125.1,170
20201031120000,14.2,126.5,155
20201031060000,14.7,127.6,155
20201031000000,15.3,128.8,160
20201030180000,15.8,129.9,155
20201030120000,16.1,130.9,155
20201030060000,16.3,131.6,150
20201030000000,16.3,132.7,125
20201029180000,16.3,133.4,120
20201029120000,16.7,134.6,80
20201029060000,16.8,135.8,70
20201029000000,16.5,136.6,55
20201028180000,16.6,137.5,45
20201028120000,16.6,138.7,35
20201028060000,16.6,139.5,30
20201028000000,16.6,140.1,25