Mun_Code,Mun_Name,landslide_per,stormsurge_per,Bu_p_inSSA,Bu_p_LS,Red_per_LSbldg,Or_per_LSblg,Yel_per_LSSAb,RED_per_SSAbldg,OR_per_SSAbldg,Yellow_per_LSbl
PH012801000,ADAMS,4.08,0,0,4.08,4.08,0,0,0,0,0
PH012802000,BACARRA,1.41,1.54,1.54,1.41,0,0,1.41,1.48,0.03,0.03
PH012803000,BADOC,2.45,1.68,1.68,2.45,0.04,0,2.4,1.64,0,0.04
PH012804000,BANGUI,2.88,1.51,1.51,2.88,0.41,0,2.47,1.44,0,0.07
PH012805000,CITY OF BATAC,0.03,0.03,0.03,0.03,0.03,0,0,0,0,0.03
PH012806000,BURGOS,2.44,1.38,1.38,2.44,0.15,0,2.29,1.35,0,0.04
PH012807000,CARASI,3.65,0.17,0.17,3.65,3.65,0,0,0,0,0.17
PH012808000,CURRIMAO,2.54,2.04,2.04,2.54,0,0,2.54,1.99,0,0.05
PH012809000,DINGRAS,0.08,0,0,0.08,0.08,0,0,0,0,0
PH012810000,DUMALNEG,2.83,0,0,2.83,2.83,0,0,0,0,0
PH012811000,BANNA (ESPIRITU),0.02,0.02,0.02,0.02,0.02,0,0,0,0,0.02
PH012812000,LAOAG CITY (Capital),1.61,2.66,2.66,1.61,0,0,1.61,2.65,0.01,0
PH012813000,MARCOS,0.06,0,0,0.06,0.06,0,0,0,0,0
PH012814000,NUEVA ERA,3.21,0,0,3.21,3.16,0,0.05,0,0,0
PH012815000,PAGUDPUD,2.48,15.96,15.9,2.48,0.7,0,1.78,15.93,0,0.03
PH012816000,PAOAY,0.88,1.01,1.01,0.88,0,0,0.88,1.01,0,0
PH012817000,PASUQUIN,3.16,9.6,9.6,3.16,0.13,0,3.04,9.57,0.02,0.02
PH012818000,PIDDIG,0.03,0.02,0.02,0.02,0.03,0,0,0,0,0.02
PH012819000,PINILI,1.11,0.08,0.08,1.11,0.04,0,1.07,0,0,0.08
PH012820000,SAN NICOLAS,0,0,0,0,0,0,0,0,0,0
PH012821000,SARRAT,0.14,0,0,0.14,0.14,0,0,0,0,0
PH012822000,SOLSONA,0.07,0,0,0.07,0.07,0,0,0,0,0
PH012823000,VINTAR,1.08,0,0,1.08,1.08,0,0,0,0,0
PH012901000,ALILEM,4.76,0.05,0.05,4.76,4.76,0,0,0,0,0.05
PH012902000,BANAYOYO,0,0.08,0.08,0,0,0,0,0,0,0.08
PH012903000,BANTAY,1.94,0.02,0.02,1.94,0.23,0,1.71,0.02,0,0
PH012904000,BURGOS,0.05,0,0,0.05,0.05,0,0,0,0,0
PH012905000,CABUGAO,0.9,0.35,0.35,0.9,0,0,0.9,0.35,0,0
PH012906000,CITY OF CANDON,1.32,30.03,30,1.32,0,0,1.32,29.96,0.05,0.02
PH012907000,CAOAYAN,2.84,47.22,47.2,2.84,0,0,2.84,47.22,0,0
PH012908000,CERVANTES,1.66,0.1,0.1,1.66,1.66,0,0,0,0,0.1
PH012909000,GALIMUYOD,0.1,0,0,0.1,0.05,0.05,0,0,0,0
PH012910000,GREGORIO DEL PILAR (CONCEPCION),8.29,0,0,8.29,8.29,0,0,0,0,0
PH012911000,LIDLIDDA,0.44,0.11,0.11,0.44,0.44,0,0,0,0,0.11
PH012912000,MAGSINGAL,2.65,7.91,7.91,2.65,0.08,0,2.57,7.66,0.23,0.02
PH012913000,NAGBUKEL,0,0.1,0.1,0,0,0,0,0,0,0.1
PH012914000,NARVACAN,1.26,20.74,20.7,1.26,0.01,0,1.24,20.73,0,0.01
PH012915000,QUIRINO (ANGKAKI),1.33,0.14,0.14,1.33,1.33,0,0,0,0,0.14
PH012916000,SALCEDO (BAUGEN),1.05,0.04,0.04,1.05,1.05,0,0,0,0,0.04
PH012917000,SAN EMILIO,0.68,0.14,0.14,0.68,0.63,0.05,0,0,0,0.14
PH012918000,SAN ESTEBAN,2.34,3.44,3.44,2.34,0,0,2.34,3.44,0,0
PH012919000,SAN ILDEFONSO,4.48,0.17,0.17,4.48,0,0,4.48,0.17,0,0
PH012920000,SAN JUAN (LAPOG),0.79,4.07,4.07,0.79,0,0,0.79,4.04,0,0.03
PH012921000,SAN VICENTE,2.9,24.91,24.9,2.9,0,0,2.9,24.7,0.21,0
PH012922000,SANTA,4.56,7.94,7.94,4.56,1.31,0,3.25,7.9,0.04,0
PH012923000,SANTA CATALINA,1.34,59.1,59.1,1.34,0,0,1.34,58.79,0.31,0
PH012924000,SANTA CRUZ,2.72,11.39,11.3,2.72,0,0,2.72,11.36,0,0.03
PH012925000,SANTA LUCIA,0.86,27.16,27.1,0.86,0,0,0.86,27.14,0,0.02
PH012926000,SANTA MARIA,4.96,7.99,7.99,4.96,0,0,4.96,7.94,0.04,0.02
PH012927000,SANTIAGO,1.87,2.41,2.41,1.87,0,0,1.87,2.38,0,0.03
PH012928000,SANTO DOMINGO,2.93,0.37,0.37,2.93,0,0,2.93,0.35,0.03,0
PH012929000,SIGAY,3.02,0.18,0.18,3.02,3.02,0,0,0,0,0.18
PH012930000,SINAIT,2.1,5.07,5.07,2.1,0.04,0,2.06,4.99,0,0.09
PH012931000,SUGPON,1.17,0,0,1.17,1.17,0,0,0,0,0
PH012932000,SUYO,5.12,0.09,0.09,5.12,5.08,0.04,0,0,0,0.09
PH012933000,TAGUDIN,1.85,16.44,16.4,1.85,0.02,0,1.83,16.42,0.02,0
PH012934000,CITY OF VIGAN (Capital),4.1,14.77,14.7,4.1,0,0,4.1,14.77,0,0
PH013301000,AGOO,0,0,0,0,0,0,0,0,0,0
PH013302000,ARINGAY,0.07,0.02,0.02,0.07,0.02,0,0.05,0,0,0.02
PH013303000,BACNOTAN,2.46,8.35,8.35,2.46,0.06,0,2.4,8.29,0.04,0.01
PH013304000,BAGULIN,1.93,0.07,0.07,1.93,1.72,0.04,0.18,0,0,0.07
PH013305000,BALAOAN,0.13,0.85,0.85,0.13,0,0,0.13,0.83,0,0.02
PH013306000,BANGAR,2.4,10.87,10.8,2.4,0,0,2.4,10.64,0.2,0.02
PH013307000,BAUANG,2.79,23.31,23.3,2.79,0.02,0,2.76,23.29,0,0.02
PH013308000,BURGOS,2.08,0,0,2.08,1.04,0.12,0.92,0,0,0
PH013309000,CABA,1.61,5.26,5.26,1.61,0.09,0,1.52,5.21,0,0.05
PH013310000,LUNA,6.13,1.58,1.58,6.13,0,0,6.13,1.58,0,0
PH013311000,NAGUILIAN,0.19,0.03,0.03,0.19,0.16,0.02,0.02,0,0,0.03
PH013312000,PUGO,0,0,0,0,0,0,0,0,0,0
PH013313000,ROSARIO,0.1,0,0,0.1,0,0,0.1,0,0,0
PH013314000,CITY OF SAN FERNANDO (Capital),3.58,9.19,9.19,3.58,0.03,0,3.54,9.15,0.01,0.03
PH013315000,SAN GABRIEL,1.34,0.18,0.18,1.34,1.29,0.06,0,0,0,0.18
PH013316000,SAN JUAN,2.6,7.44,7.44,2.6,0.06,0,2.54,7.4,0,0.04
PH013317000,SANTO TOMAS,0,0,0,0,0,0,0,0,0,0
PH013318000,SANTOL,0.82,0.09,0.09,0.82,0.74,0.09,0,0,0,0.09
PH013319000,SUDIPEN,2.32,0.04,0.04,2.32,0.64,0,1.68,0,0,0.04
PH013320000,TUBAO,1.37,0,0,1.37,0,0,1.37,0,0,0
PH015501000,AGNO,1.52,1.28,1.28,1.52,0.02,0,1.5,1.28,0,0
PH015502000,AGUILAR,0,0,0,0,0,0,0,0,0,0
PH015503000,CITY OF ALAMINOS,1.45,2.49,2.49,1.45,0.01,0,1.44,2.49,0,0
PH015504000,ALCALA,0,0,0,0,0,0,0,0,0,0
PH015505000,ANDA,3.48,6.6,6.6,3.48,0,0,3.48,6.6,0,0
PH015506000,ASINGAN,0,0,0,0,0,0,0,0,0,0
PH015507000,BALUNGAO,0,0,0,0,0,0,0,0,0,0
PH015508000,BANI,0.97,3.62,3.62,0.97,0,0.01,0.96,3.52,0.1,0
PH015509000,BASISTA,0,0,0,0,0,0,0,0,0,0
PH015510000,BAUTISTA,0,0,0,0,0,0,0,0,0,0
PH015511000,BAYAMBANG,0.3,0,0,0.3,0,0,0.3,0,0,0
PH015512000,BINALONAN,0,0,0,0,0,0,0,0,0,0
PH015513000,BINMALEY,0.88,44.55,44.5,0.88,0,0,0.88,41.76,2.79,0
PH015514000,BOLINAO,3.09,1.92,1.92,3.09,0,0,3.09,1.91,0.01,0
PH015515000,BUGALLON,1.31,0.22,0.22,1.31,0.1,0,1.21,0.15,0.07,0
PH015516000,BURGOS,0.63,0.03,0.03,0.63,0.03,0,0.6,0.03,0,0
PH015517000,CALASIAO,0,0,0,0,0,0,0,0,0,0
PH015518000,DAGUPAN CITY,2.09,29.23,29.2,2.09,0,0,2.09,25.77,3.46,0
PH015519000,DASOL,1.92,11.16,11.1,1.92,0,0,1.92,11.16,0,0
PH015520000,INFANTA,0.77,17.22,17.2,0.77,0.1,0,0.67,17.22,0,0
PH015521000,LABRADOR,1.53,21.11,21.1,1.53,0.2,0,1.33,21.07,0.03,0
PH015522000,LINGAYEN (Capital),0.65,58.94,58.9,0.65,0,0,0.65,58.82,0.12,0
PH015523000,MABINI,0.16,0,0,0.16,0.16,0,0,0,0,0
PH015524000,MALASIQUI,0,0,0,0,0,0,0,0,0,0
PH015525000,MANAOAG,0,0,0,0,0,0,0,0,0,0
PH015526000,MANGALDAN,1.15,1.67,1.67,1.15,0,0,1.15,1.34,0.33,0
PH015527000,MANGATAREM,0.42,0,0,0.42,0,0,0.42,0,0,0
PH015528000,MAPANDAN,0,0,0,0,0,0,0,0,0,0
PH015529000,NATIVIDAD,0.38,0,0,0.38,0.38,0,0,0,0,0
PH015530000,POZORRUBIO,0,0,0,0,0,0,0,0,0,0
PH015531000,ROSALES,0,0,0,0,0,0,0,0,0,0
PH015532000,SAN CARLOS CITY,0,0,0,0,0,0,0,0,0,0
PH015533000,SAN FABIAN,0.96,29.8,29.8,0.96,0,0,0.96,29.61,0.19,0
PH015534000,SAN JACINTO,0,0,0,0,0,0,0,0,0,0
PH015535000,SAN MANUEL,0.25,0,0,0.25,0.25,0,0,0,0,0
PH015536000,SAN NICOLAS,0.37,0,0,0.37,0.37,0,0,0,0,0
PH015537000,SAN QUINTIN,0.1,0,0,0.1,0.1,0,0,0,0,0
PH015538000,SANTA BARBARA,0,0,0,0,0,0,0,0,0,0
PH015539000,SANTA MARIA,0,0,0,0,0,0,0,0,0,0
PH015540000,SANTO TOMAS,0,0,0,0,0,0,0,0,0,0
PH015541000,SISON,0.24,0,0,0.24,0.24,0,0,0,0,0
PH015542000,SUAL,2.03,0.54,0.54,2.03,0.04,0,1.99,0.54,0,0
PH015543000,TAYUG,0,0,0,0,0,0,0,0,0,0
PH015544000,UMINGAN,0.06,0,0,0.06,0.06,0,0,0,0,0
PH015545000,URBIZTONDO,0.36,0,0,0.36,0,0,0.36,0,0,0
PH015546000,CITY OF URDANETA,0,0,0,0,0,0,0,0,0,0
PH015547000,VILLASIS,0,0,0,0,0,0,0,0,0,0
PH015548000,LAOAC,0,0,0,0,0,0,0,0,0,0
PH020901000,BASCO (Capital),2.49,0,0,2.49,0,0,2.49,0,0,0
PH020902000,ITBAYAT,5.57,0.22,0.22,5.57,0.67,0,4.9,0.22,0,0
PH020903000,IVANA,10.98,0,0,10.9,0,0,10.98,0,0,0
PH020904000,MAHATAO,6.67,0.61,0.61,6.67,1.21,0,5.45,0.61,0,0
PH020905000,SABTANG,12.94,1.18,1.18,12.9,2.35,0,10.59,1.18,0,0
PH020906000,UYUGAN,9.05,0.9,0.9,9.05,2.71,0,6.33,0.9,0,0
PH021501000,ABULUG,2.43,7.68,7.68,2.43,0,0,2.43,7.66,0.02,0
PH021502000,ALCALA,0,0,0,0,0,0,0,0,0,0
PH021503000,ALLACAPAN,0,0,0,0,0,0,0,0,0,0
PH021504000,AMULUNG,0,0,0,0,0,0,0,0,0,0
PH021505000,APARRI,1.49,37.1,37.1,1.49,0,0,1.49,36.8,0.3,0
PH021506000,BAGGAO,0.23,0.01,0.01,0.23,0.21,0,0.02,0.01,0,0
PH021507000,BALLESTEROS,3.95,1.35,1.35,3.95,0,0,3.95,1.26,0.09,0
PH021508000,BUGUEY,3.7,10.04,10,3.7,0,0,3.7,9.76,0.28,0
PH021509000,CALAYAN,3.96,0.6,0.6,3.96,0.26,0,3.7,0.6,0,0
PH021510000,CAMALANIUGAN,0.39,1.08,1.08,0.39,0,0,0.39,0.6,0.48,0
PH021511000,CLAVERIA,4.42,2.94,2.94,4.42,0.09,0,4.33,2.91,0.03,0
PH021512000,ENRILE,1.31,0,0,1.31,0,0,1.31,0,0,0
PH021513000,GATTARAN,0.27,0,0,0.27,0.22,0,0.05,0,0,0
PH021514000,GONZAGA,1.2,4.07,4.07,1.2,0.17,0,1.03,4.04,0.03,0
PH021515000,IGUIG,0,0,0,0,0,0,0,0,0,0
PH021516000,LAL-LO,0.39,0,0,0.39,0.27,0.02,0.11,0,0,0
PH021517000,LASAM,0,0,0,0,0,0,0,0,0,0
PH021518000,PAMPLONA,2.76,7.55,7.55,2.76,0,0,2.76,7.55,0,0
PH021519000,PEÃ‘ABLANCA,2.04,0.01,0.01,2.04,1.98,0.01,0.05,0.01,0,0
PH021520000,PIAT,0,0,0,0,0,0,0,0,0,0
PH021521000,RIZAL,0.18,0,0,0.18,0.18,0,0,0,0,0
PH021522000,SANCHEZ-MIRA,5.53,5.64,5.64,5.53,0,0,5.53,5.64,0,0
PH021523000,SANTA ANA,1.44,18.88,18.8,1.44,0.08,0,1.36,18.69,0.18,0
PH021524000,SANTA PRAXEDES,2.12,0,0,2.12,0.53,0,1.59,0,0,0
PH021525000,SANTA TERESITA,2.31,15.2,15.2,2.31,0,0,2.31,15.2,0,0
PH021526000,SANTO NIÃ‘O (FAIRE),0.1,0,0,0.1,0.1,0,0,0,0,0
PH021527000,SOLANA,0,0,0,0,0,0,0,0,0,0
PH021528000,TUAO,0,0,0,0,0,0,0,0,0,0
PH021529000,TUGUEGARAO CITY (Capital),0.02,0,0,0.02,0,0,0.02,0,0,0
PH023101000,ALICIA,0,0,0,0,0,0,0,0,0,0
PH023102000,ANGADANAN,0,0,0,0,0,0,0,0,0,0
PH023103000,AURORA,0,0,0,0,0,0,0,0,0,0
PH023104000,BENITO SOLIVEN,0,0,0,0,0,0,0,0,0,0
PH023105000,BURGOS,0,0,0,0,0,0,0,0,0,0
PH023106000,CABAGAN,0.44,0,0,0.44,0.44,0,0,0,0,0
PH023107000,CABATUAN,0,0,0,0,0,0,0,0,0,0
PH023108000,CITY OF CAUAYAN,0,0,0,0,0,0,0,0,0,0
PH023109000,CORDON,0.04,0,0,0.03,0.03,0,0,0,0,0
PH023110000,DINAPIGUE,5.72,0,0,5.72,1.83,0,3.89,0,0,0
PH023111000,DIVILACAN,2.92,3.3,3.3,2.92,1.77,0,1.14,3.3,0,0
PH023112000,ECHAGUE,0,0,0,0,0,0,0,0,0,0
PH023113000,GAMU,0,0,0,0,0,0,0,0,0,0
PH023114000,ILAGAN CITY (Capital),0.31,0,0,0.31,0.31,0,0,0,0,0
PH023115000,JONES,0.5,0,0,0.5,0,0,0.5,0,0,0
PH023116000,LUNA,0,0,0,0,0,0,0,0,0,0
PH023117000,MACONACON,5.72,4.58,4.58,5.72,3.27,0,2.45,4.58,0,0
PH023118000,DELFIN ALBANO (MAGSAYSAY),0,0,0,0,0,0,0,0,0,0
PH023119000,MALLIG,0,0,0,0,0,0,0,0,0,0
PH023120000,NAGUILIAN,0,0,0,0,0,0,0,0,0,0
PH023121000,PALANAN,1.21,0.72,0.72,1.21,0.18,0,1.03,0.72,0,0
PH023122000,QUEZON,0,0,0,0,0,0,0,0,0,0
PH023123000,QUIRINO,0,0,0,0,0,0,0,0,0,0
PH023124000,RAMON,0,0,0,0,0,0,0,0,0,0
PH023125000,REINA MERCEDES,0,0,0,0,0,0,0,0,0,0
PH023126000,ROXAS,0,0,0,0,0,0,0,0,0,0
PH023127000,SAN AGUSTIN,0.1,0,0,0.1,0,0,0.1,0,0,0
PH023128000,SAN GUILLERMO,0.04,0,0,0.04,0.04,0,0,0,0,0
PH023129000,SAN ISIDRO,0,0,0,0,0,0,0,0,0,0
PH023130000,SAN MANUEL,0,0,0,0,0,0,0,0,0,0
PH023131000,SAN MARIANO,0.7,0,0,0.7,0.69,0,0.01,0,0,0
PH023132000,SAN MATEO,0,0,0,0,0,0,0,0,0,0
PH023133000,SAN PABLO,1.53,0,0,1.53,1.53,0,0,0,0,0
PH023134000,SANTA MARIA,0.03,0,0,0.03,0.03,0,0,0,0,0
PH023135000,CITY OF SANTIAGO,0,0,0,0,0,0,0,0,0,0
PH023136000,SANTO TOMAS,0,0,0,0,0,0,0,0,0,0
PH023137000,TUMAUINI,0.24,0,0,0.24,0.24,0,0,0,0,0
PH025001000,AMBAGUIO,4.27,0.19,0.19,4.27,4.17,0.1,0,0,0,0.19
PH025002000,ARITAO,0.48,0.05,0.05,0.48,0.46,0.01,0,0,0,0.05
PH025003000,BAGABAG,0,0.02,0.02,0,0,0,0,0,0,0.02
PH025004000,BAMBANG,0.53,0.07,0.07,0.53,0.51,0.02,0,0,0,0.07
PH025005000,BAYOMBONG (Capital),0.18,0.01,0.01,0.18,0.18,0,0,0,0,0.01
PH025006000,DIADI,0.11,0,0,0.12,0.08,0.04,0,0,0,0
PH025007000,DUPAX DEL NORTE,0.52,0.15,0.15,0.52,0.48,0.04,0,0,0,0.15
PH025008000,DUPAX DEL SUR,0.71,0.09,0.09,0.71,0.62,0.09,0,0,0,0.09
PH025009000,KASIBU,2.13,0.09,0.09,2.13,2.04,0.03,0.07,0,0,0.09
PH025010000,KAYAPA,2.71,0.02,0.02,2.71,2.69,0.02,0,0,0,0.02
PH025011000,QUEZON,0.75,0.06,0.06,0.75,0.72,0.03,0,0,0,0.06
PH025012000,SANTA FE,0.71,0.15,0.15,0.71,0.67,0.04,0,0,0,0.15
PH025013000,SOLANO,0.19,0,0,0.19,0.18,0.01,0,0,0,0
PH025014000,VILLAVERDE,0.06,0.09,0.09,0.06,0.06,0,0,0,0,0.09
PH025015000,ALFONSO CASTANEDA,1.4,0.07,0.07,1.4,1.33,0,0.07,0,0,0.07
PH025701000,AGLIPAY,0.34,0.07,0.07,0.34,0.27,0,0.07,0,0,0.07
PH025702000,CABARROGUIS (Capital),0.67,0.02,0.02,0.67,0.21,0,0.45,0,0,0.02
PH025703000,DIFFUN,0.54,0,0,0.54,0.38,0.02,0.15,0,0,0
PH025704000,MADDELA,0.85,0.03,0.03,0.85,0.85,0,0,0,0,0.03
PH025705000,SAGUDAY,0.35,0,0,0.35,0,0,0.35,0,0,0
PH025706000,NAGTIPUNAN,3.06,0.05,0.05,3.06,3.01,0.02,0.02,0,0,0.05
PH030801000,ABUCAY,0.78,40.87,40.8,0.78,0,0,0.78,40.83,0.05,0
PH030802000,BAGAC,2.2,0.8,0.8,2.19,0.04,0.03,2.14,0.75,0,0.05
PH030803000,CITY OF BALANGA (Capital),1.79,17.41,17.4,1.79,0,0,1.79,15.85,1.56,0
PH030804000,DINALUPIHAN,0.8,0.01,0.01,0.8,0,0,0.8,0,0,0.01
PH030805000,HERMOSA,2.44,0.77,0.77,2.44,0,0,2.44,0.7,0.05,0.01
PH030806000,LIMAY,4.76,0.24,0.24,4.76,0,0,4.76,0.21,0.02,0.02
PH030807000,MARIVELES,3.62,2.09,2.09,3.62,0.07,0,3.54,2.05,0.01,0.02
PH030808000,MORONG,2.51,11.14,11.1,2.51,0.06,0,2.45,11.11,0,0.03
PH030809000,ORANI,2.85,4.43,4.43,2.85,0,0,2.85,4.41,0,0.02
PH030810000,ORION,1.47,35.92,35.9,1.47,0.01,0,1.45,35.9,0,0.02
PH030811000,PILAR,0.71,24.32,24.3,0.71,0,0,0.71,24.18,0.11,0.03
PH030812000,SAMAL,0.7,38.25,38.2,0.7,0,0,0.7,38.19,0.03,0.03
PH031401000,ANGAT,0,0,0,0,0,0,0,0,0,0
PH031402000,BALAGTAS (BIGAA),0,0,0,0,0,0,0,0,0,0
PH031403000,BALIUAG,0,0,0,0,0,0,0,0,0,0
PH031404000,BOCAUE,0.03,0.01,0.01,0.03,0,0,0.03,0.01,0,0
PH031405000,BULACAN,5.52,8.92,8.92,5.52,0,0,5.52,8.79,0.13,0
PH031406000,BUSTOS,0,0,0,0,0,0,0,0,0,0
PH031407000,CALUMPIT,0,0,0,0,0,0,0,0,0,0
PH031408000,GUIGUINTO,0,0,0,0,0,0,0,0,0,0
PH031409000,HAGONOY,1.47,14.25,14.2,1.47,0,0,1.47,9.91,4.34,0
PH031410000,CITY OF MALOLOS (Capital),0.43,1.35,1.35,0.43,0,0,0.43,1.28,0.07,0
PH031411000,MARILAO,1,0.01,0.01,1,0,0,1,0.01,0,0
PH031412000,CITY OF MEYCAUAYAN,0.67,0.05,0.05,0.67,0,0,0.67,0.05,0,0
PH031413000,NORZAGARAY,0.11,0,0,0.11,0.11,0,0,0,0,0
PH031414000,OBANDO,0,27.74,27.7,0,0,0,0,27.74,0,0
PH031415000,PANDI,0,0,0,0,0,0,0,0,0,0
PH031416000,PAOMBONG,2.13,9.3,9.3,2.13,0,0,2.13,8.34,0.96,0
PH031417000,PLARIDEL,0,0,0,0,0,0,0,0,0,0
PH031418000,PULILAN,0,0,0,0,0,0,0,0,0,0
PH031419000,SAN ILDEFONSO,0,0,0,0,0,0,0,0,0,0
PH031420000,CITY OF SAN JOSE DEL MONTE,0.01,0,0,0.01,0.01,0,0,0,0,0
PH031421000,SAN MIGUEL,0,0,0,0,0,0,0,0,0,0
PH031422000,SAN RAFAEL,0,0,0,0,0,0,0,0,0,0
PH031423000,SANTA MARIA,0.55,0,0,0.55,0,0,0.55,0,0,0
PH031424000,DOÃ‘A REMEDIOS TRINIDAD,0.66,0,0,0.66,0.66,0,0,0,0,0
PH034901000,ALIAGA,0,0,0,0,0,0,0,0,0,0
PH034902000,BONGABON,0.29,0,0,0.29,0.29,0,0,0,0,0
PH034903000,CABANATUAN CITY,0,0,0,0,0,0,0,0,0,0
PH034904000,CABIAO,0,0,0,0,0,0,0,0,0,0
PH034905000,CARRANGLAN,0.11,0,0,0.11,0.11,0,0,0,0,0
PH034906000,CUYAPO,0,0,0,0,0,0,0,0,0,0
PH034907000,GABALDON (BITULOK & SABANI),1.28,0,0,1.28,1.25,0,0.03,0,0,0
PH034908000,CITY OF GAPAN,0,0,0,0,0,0,0,0,0,0
PH034909000,GENERAL MAMERTO NATIVIDAD,0,0,0,0,0,0,0,0,0,0
PH034910000,GENERAL TINIO (PAPAYA),0.41,0,0,0.41,0.41,0,0,0,0,0
PH034911000,GUIMBA,0,0,0,0,0,0,0,0,0,0
PH034912000,JAEN,0,0,0,0,0,0,0,0,0,0
PH034913000,LAUR,0.12,0,0,0.12,0.12,0,0,0,0,0
PH034914000,LICAB,0,0,0,0,0,0,0,0,0,0
